season,week,game_id,game_date,away_team,home_team,predicted_winner,actual_winner,winner_pick_correct,predicted_home_score,predicted_away_score,predicted_total,actual_home_score,actual_away_score,actual_total,predicted_margin,actual_margin,margin_abs_error,ai_spread,vegas_spread,predicted_cover_outcome,actual_cover_outcome,spread_pick_correct,vegas_total,predicted_total_outcome,actual_total_outcome,total_pick_correct,total_abs_error
2024,1,2024_01_BAL_KC,2024-09-05,BAL,KC,KC,KC,True,,,,27,20,47,10.2,7,3.1999999999999993,,3.0,HOME_COVER,HOME_COVER,True,46.0,,OVER,,
2024,1,2024_01_GB_PHI,2024-09-06,GB,PHI,PHI,PHI,True,,,,34,29,63,9.7,5,4.699999999999999,,2.0,HOME_COVER,HOME_COVER,True,49.5,,OVER,,
2024,1,2024_01_ARI_BUF,2024-09-08,ARI,BUF,BUF,BUF,True,,,,34,28,62,11.1,6,5.1,,6.5,HOME_COVER,HOME_COVER,True,46.0,,OVER,,
2024,1,2024_01_CAR_NO,2024-09-08,CAR,NO,NO,NO,True,,,,47,10,57,10.7,37,26.3,,3.5,HOME_COVER,HOME_COVER,True,41.5,,OVER,,
2024,1,2024_01_DAL_CLE,2024-09-08,DAL,CLE,CLE,DAL,False,,,,17,33,50,10.4,-16,26.4,,2.5,HOME_COVER,AWAY_COVER,False,42.0,,OVER,,
2024,1,2024_01_DEN_SEA,2024-09-08,DEN,SEA,SEA,SEA,True,,,,26,20,46,11.4,6,5.4,,6.5,HOME_COVER,HOME_COVER,True,42.0,,OVER,,
2024,1,2024_01_HOU_IND,2024-09-08,HOU,IND,IND,HOU,False,,,,27,29,56,8.4,-2,10.4,,-3.0,HOME_COVER,AWAY_COVER,False,49.0,,OVER,,
2024,1,2024_01_JAX_MIA,2024-09-08,JAX,MIA,MIA,MIA,True,,,,20,17,37,10.1,3,7.1,,3.5,HOME_COVER,HOME_COVER,True,49.5,,UNDER,,
2024,1,2024_01_LA_DET,2024-09-08,LA,DET,DET,DET,True,,,,26,20,46,10.2,6,4.199999999999999,,5.0,HOME_COVER,HOME_COVER,True,54.0,,UNDER,,
2024,1,2024_01_LV_LAC,2024-09-08,LV,LAC,LAC,LAC,True,,,,22,10,32,10.6,12,1.4000000000000004,,3.0,HOME_COVER,HOME_COVER,True,41.0,,UNDER,,
2024,1,2024_01_MIN_NYG,2024-09-08,MIN,NYG,NYG,MIN,False,,,,6,28,34,9.4,-22,31.4,,-1.0,HOME_COVER,AWAY_COVER,False,42.5,,UNDER,,
2024,1,2024_01_NE_CIN,2024-09-08,NE,CIN,CIN,NE,False,,,,10,16,26,11.9,-6,17.9,,8.0,HOME_COVER,HOME_COVER,True,40.5,,UNDER,,
2024,1,2024_01_PIT_ATL,2024-09-08,PIT,ATL,ATL,PIT,False,,,,10,18,28,10.7,-8,18.7,,4.0,HOME_COVER,AWAY_COVER,False,43.0,,UNDER,,
2024,1,2024_01_TEN_CHI,2024-09-08,TEN,CHI,CHI,CHI,True,,,,24,17,41,10.7,7,3.6999999999999993,,4.0,HOME_COVER,HOME_COVER,True,43.0,,UNDER,,
2024,1,2024_01_WAS_TB,2024-09-08,WAS,TB,TB,TB,True,,,,37,20,57,10.8,17,6.199999999999999,,4.0,HOME_COVER,HOME_COVER,True,42.0,,OVER,,
2024,1,2024_01_NYJ_SF,2024-09-09,NYJ,SF,SF,SF,True,,,,32,19,51,10.6,13,2.4000000000000004,,3.5,HOME_COVER,HOME_COVER,True,43.0,,OVER,,
2024,2,2024_02_BUF_MIA,2024-09-12,BUF,MIA,MIA,BUF,False,28.1,20.4,48.5,10,31,41,7.6,-21,28.6,-7.6,2.5,HOME_COVER,AWAY_COVER,False,48.5,PUSH,UNDER,,7.5
2024,2,2024_02_CHI_HOU,2024-09-15,CHI,HOU,HOU,HOU,True,28.8,16.7,45.5,19,13,32,12.2,6,6.199999999999999,-12.2,6.0,HOME_COVER,HOME_COVER,True,45.5,PUSH,UNDER,,13.5
2024,2,2024_02_CIN_KC,2024-09-15,CIN,KC,KC,KC,True,29.8,17.7,47.5,26,25,51,12.2,1,11.2,-12.2,6.5,HOME_COVER,HOME_COVER,True,47.5,PUSH,OVER,,3.5
2024,2,2024_02_CLE_JAX,2024-09-15,CLE,JAX,JAX,CLE,False,26.2,15.3,41.5,13,18,31,10.9,-5,15.9,-10.9,3.0,HOME_COVER,AWAY_COVER,False,41.5,PUSH,UNDER,,10.5
2024,2,2024_02_IND_GB,2024-09-15,IND,GB,GB,GB,True,25.1,16.4,41.5,16,10,26,8.7,6,2.6999999999999993,-8.7,-3.0,HOME_COVER,HOME_COVER,True,41.5,PUSH,UNDER,,15.5
2024,2,2024_02_LA_ARI,2024-09-15,LA,ARI,ARI,ARI,True,28.4,19.1,47.5,41,10,51,9.2,31,21.8,-9.2,-1.0,HOME_COVER,HOME_COVER,True,47.5,PUSH,OVER,,3.5
2024,2,2024_02_LAC_CAR,2024-09-15,LAC,CAR,CAR,LAC,False,21.0,18.0,39.0,3,26,29,3.0,-23,26.0,-3.0,-5.0,AWAY_COVER,AWAY_COVER,True,39.0,PUSH,UNDER,,10.0
2024,2,2024_02_LV_BAL,2024-09-15,LV,BAL,BAL,LV,False,27.1,13.9,41.0,23,26,49,13.2,-3,16.2,-13.2,9.0,HOME_COVER,HOME_COVER,True,41.0,PUSH,OVER,,8.0
2024,2,2024_02_NO_DAL,2024-09-15,NO,DAL,DAL,NO,False,26.5,20.5,47.0,19,44,63,6.1,-25,31.1,-6.1,6.5,HOME_COVER,AWAY_COVER,False,47.0,PUSH,OVER,,16.0
2024,2,2024_02_NYG_WAS,2024-09-15,NYG,WAS,WAS,WAS,True,26.8,15.7,42.5,21,18,39,11.2,3,8.2,-11.2,1.5,HOME_COVER,HOME_COVER,True,42.5,PUSH,UNDER,,3.5
2024,2,2024_02_NYJ_TEN,2024-09-15,NYJ,TEN,TEN,NYJ,False,23.6,17.9,41.5,17,24,41,5.8,-7,12.8,-5.8,-3.5,HOME_COVER,AWAY_COVER,False,41.5,PUSH,UNDER,,0.5
2024,2,2024_02_PIT_DEN,2024-09-15,PIT,DEN,DEN,PIT,False,21.2,15.3,36.5,6,13,19,5.9,-7,12.9,-5.9,-3.0,HOME_COVER,AWAY_COVER,False,36.5,PUSH,UNDER,,17.5
2024,2,2024_02_SEA_NE,2024-09-15,SEA,NE,NE,SEA,False,22.6,16.4,39.0,20,23,43,6.3,-3,9.3,-6.3,-3.5,HOME_COVER,AWAY_COVER,False,39.0,PUSH,OVER,,4.0
2024,2,2024_02_SF_MIN,2024-09-15,SF,MIN,MIN,MIN,True,26.0,20.5,46.5,23,17,40,5.5,6,0.5,-5.5,-4.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,UNDER,,6.5
2024,2,2024_02_TB_DET,2024-09-15,TB,DET,DET,TB,False,29.8,21.7,51.5,16,20,36,8.0,-4,12.0,-8.0,7.5,HOME_COVER,HOME_COVER,True,51.5,PUSH,UNDER,,15.5
2024,2,2024_02_ATL_PHI,2024-09-16,ATL,PHI,PHI,ATL,False,29.9,16.6,46.5,21,22,43,13.3,-1,14.3,-13.3,5.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,UNDER,,3.5
2024,3,2024_03_NE_NYJ,2024-09-19,NE,NYJ,NYJ,NYJ,True,24.7,14.3,39.0,24,3,27,10.3,21,10.7,-10.3,6.5,HOME_COVER,HOME_COVER,True,39.0,PUSH,UNDER,,12.0
2024,3,2024_03_BAL_DAL,2024-09-22,BAL,DAL,DAL,BAL,False,27.7,19.8,47.5,25,28,53,7.8,-3,10.8,-7.8,-1.5,HOME_COVER,AWAY_COVER,False,47.5,PUSH,OVER,,5.5
2024,3,2024_03_CAR_LV,2024-09-22,CAR,LV,LV,CAR,False,26.4,13.6,40.0,22,36,58,12.9,-14,26.9,-12.9,5.5,HOME_COVER,AWAY_COVER,False,40.0,PUSH,OVER,,18.0
2024,3,2024_03_CHI_IND,2024-09-22,CHI,IND,IND,IND,True,26.2,16.8,43.0,21,16,37,9.4,5,4.4,-9.4,1.5,HOME_COVER,HOME_COVER,True,43.0,PUSH,UNDER,,6.0
2024,3,2024_03_DEN_TB,2024-09-22,DEN,TB,TB,DEN,False,26.4,14.1,40.5,7,26,33,12.3,-19,31.3,-12.3,6.0,HOME_COVER,AWAY_COVER,False,40.5,PUSH,UNDER,,7.5
2024,3,2024_03_DET_ARI,2024-09-22,DET,ARI,ARI,DET,False,30.7,20.8,51.5,13,20,33,10.0,-7,17.0,-10.0,-3.0,HOME_COVER,AWAY_COVER,False,51.5,PUSH,UNDER,,18.5
2024,3,2024_03_GB_TEN,2024-09-22,GB,TEN,TEN,GB,False,21.7,15.3,37.0,14,30,44,6.4,-16,22.4,-6.4,3.0,HOME_COVER,AWAY_COVER,False,37.0,PUSH,OVER,,7.0
2024,3,2024_03_HOU_MIN,2024-09-22,HOU,MIN,MIN,MIN,True,27.2,18.8,46.0,34,7,41,8.4,27,18.6,-8.4,-2.0,HOME_COVER,HOME_COVER,True,46.0,PUSH,UNDER,,5.0
2024,3,2024_03_KC_ATL,2024-09-22,KC,ATL,ATL,KC,False,25.3,20.7,46.0,17,22,39,4.7,-5,9.7,-4.7,-3.0,HOME_COVER,AWAY_COVER,False,46.0,PUSH,UNDER,,7.0
2024,3,2024_03_LAC_PIT,2024-09-22,LAC,PIT,PIT,PIT,True,21.5,14.5,36.0,20,10,30,6.9,10,3.0999999999999996,-6.9,3.0,HOME_COVER,HOME_COVER,True,36.0,PUSH,UNDER,,6.0
2024,3,2024_03_MIA_SEA,2024-09-22,MIA,SEA,SEA,SEA,True,25.8,15.7,41.5,24,3,27,10.2,21,10.8,-10.2,4.0,HOME_COVER,HOME_COVER,True,41.5,PUSH,UNDER,,14.5
2024,3,2024_03_NYG_CLE,2024-09-22,NYG,CLE,CLE,NYG,False,23.9,14.1,38.0,15,21,36,9.8,-6,15.8,-9.8,6.5,HOME_COVER,HOME_COVER,True,38.0,PUSH,UNDER,,2.0
2024,3,2024_03_PHI_NO,2024-09-22,PHI,NO,NO,PHI,False,30.8,18.2,49.0,12,15,27,12.6,-3,15.6,-12.6,2.5,HOME_COVER,AWAY_COVER,False,49.0,PUSH,UNDER,,22.0
2024,3,2024_03_SF_LA,2024-09-22,SF,LA,LA,LA,True,24.4,20.1,44.5,27,24,51,4.2,3,1.2000000000000002,-4.2,-6.0,AWAY_COVER,AWAY_COVER,True,44.5,PUSH,OVER,,6.5
2024,3,2024_03_JAX_BUF,2024-09-23,JAX,BUF,BUF,BUF,True,28.5,18.0,46.5,47,10,57,10.4,37,26.6,-10.4,4.0,HOME_COVER,HOME_COVER,True,46.5,PUSH,OVER,,10.5
2024,3,2024_03_WAS_CIN,2024-09-23,WAS,CIN,CIN,WAS,False,26.7,19.3,46.0,33,38,71,7.4,-5,12.4,-7.4,7.5,HOME_COVER,HOME_COVER,True,46.0,PUSH,OVER,,25.0
2024,4,2024_04_DAL_NYG,2024-09-26,DAL,NYG,NYG,DAL,False,24.7,20.3,45.0,15,20,35,4.3,-5,9.3,-4.3,-5.5,AWAY_COVER,AWAY_COVER,True,45.0,PUSH,UNDER,,10.0
2024,4,2024_04_BUF_BAL,2024-09-29,BUF,BAL,BAL,BAL,True,27.1,19.4,46.5,35,10,45,7.6,25,17.4,-7.6,2.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,UNDER,,1.5
2024,4,2024_04_CIN_CAR,2024-09-29,CIN,CAR,CAR,CIN,False,25.6,21.4,47.0,24,34,58,4.1,-10,14.1,-4.1,-4.5,AWAY_COVER,AWAY_COVER,True,47.0,PUSH,OVER,,11.0
2024,4,2024_04_CLE_LV,2024-09-29,CLE,LV,LV,LV,True,22.9,13.6,36.5,20,16,36,9.3,4,5.300000000000001,-9.3,-2.5,HOME_COVER,HOME_COVER,True,36.5,PUSH,UNDER,,0.5
2024,4,2024_04_DEN_NYJ,2024-09-29,DEN,NYJ,NYJ,DEN,False,25.6,13.9,39.5,9,10,19,11.6,-1,12.6,-11.6,7.5,HOME_COVER,HOME_COVER,True,39.5,PUSH,UNDER,,20.5
2024,4,2024_04_JAX_HOU,2024-09-29,JAX,HOU,HOU,HOU,True,27.4,17.1,44.5,24,20,44,10.3,4,6.300000000000001,-10.3,5.5,HOME_COVER,HOME_COVER,True,44.5,PUSH,UNDER,,0.5
2024,4,2024_04_KC_LAC,2024-09-29,KC,LAC,LAC,KC,False,23.1,18.4,41.5,10,17,27,4.6,-7,11.6,-4.6,-7.5,AWAY_COVER,AWAY_COVER,True,41.5,PUSH,UNDER,,14.5
2024,4,2024_04_LA_CHI,2024-09-29,LA,CHI,CHI,CHI,True,24.0,16.0,40.0,24,18,42,7.9,6,1.9000000000000004,-7.9,3.0,HOME_COVER,HOME_COVER,True,40.0,PUSH,OVER,,2.0
2024,4,2024_04_MIN_GB,2024-09-29,MIN,GB,GB,MIN,False,26.2,17.8,44.0,29,31,60,8.4,-2,10.4,-8.4,2.5,HOME_COVER,HOME_COVER,True,44.0,PUSH,OVER,,16.0
2024,4,2024_04_NE_SF,2024-09-29,NE,SF,SF,SF,True,27.6,13.9,41.5,30,13,43,13.6,17,3.4000000000000004,-13.6,10.5,HOME_COVER,HOME_COVER,True,41.5,PUSH,OVER,,1.5
2024,4,2024_04_NO_ATL,2024-09-29,NO,ATL,ATL,ATL,True,23.1,18.4,41.5,26,24,50,4.7,2,2.7,-4.7,2.5,HOME_COVER,HOME_COVER,True,41.5,PUSH,OVER,,8.5
2024,4,2024_04_PHI_TB,2024-09-29,PHI,TB,TB,TB,True,24.3,17.7,42.0,33,16,49,6.5,17,10.5,-6.5,-1.0,HOME_COVER,HOME_COVER,True,42.0,PUSH,OVER,,7.0
2024,4,2024_04_PIT_IND,2024-09-29,PIT,IND,IND,IND,True,23.4,16.6,40.0,27,24,51,6.7,3,3.7,-6.7,-2.5,HOME_COVER,HOME_COVER,True,40.0,PUSH,OVER,,11.0
2024,4,2024_04_WAS_ARI,2024-09-29,WAS,ARI,ARI,WAS,False,28.9,20.1,49.0,14,42,56,8.7,-28,36.7,-8.7,3.5,HOME_COVER,AWAY_COVER,False,49.0,PUSH,OVER,,7.0
2024,4,2024_04_SEA_DET,2024-09-30,SEA,DET,DET,DET,True,27.6,18.9,46.5,42,29,71,8.8,13,4.199999999999999,-8.8,3.5,HOME_COVER,HOME_COVER,True,46.5,PUSH,OVER,,24.5
2024,4,2024_04_TEN_MIA,2024-09-30,TEN,MIA,MIA,TEN,False,23.3,13.7,37.0,12,31,43,9.7,-19,28.7,-9.7,2.5,HOME_COVER,AWAY_COVER,False,37.0,PUSH,OVER,,6.0
2024,5,2024_05_TB_ATL,2024-10-03,TB,ATL,ATL,ATL,True,25.7,18.3,44.0,36,30,66,7.3,6,1.2999999999999998,-7.3,2.5,HOME_COVER,HOME_COVER,True,44.0,PUSH,OVER,,22.0
2024,5,2024_05_ARI_SF,2024-10-06,ARI,SF,SF,ARI,False,29.6,18.9,48.5,23,24,47,10.7,-1,11.7,-10.7,7.0,HOME_COVER,HOME_COVER,True,48.5,PUSH,UNDER,,1.5
2024,5,2024_05_BAL_CIN,2024-10-06,BAL,CIN,CIN,BAL,False,27.8,20.7,48.5,38,41,79,7.1,-3,10.1,-7.1,-2.5,HOME_COVER,AWAY_COVER,False,48.5,PUSH,OVER,,30.5
