season,week,game_id,game_date,away_team,home_team,predicted_total,actual_total,total_abs_error,vegas_total,predicted_total_outcome,actual_total_outcome,total_pick_correct
2024,1,2024_01_BAL_KC,2024-09-05,BAL,KC,,47,,46.0,,OVER,
2024,1,2024_01_GB_PHI,2024-09-06,GB,PHI,,63,,49.5,,OVER,
2024,1,2024_01_ARI_BUF,2024-09-08,ARI,BUF,,62,,46.0,,OVER,
2024,1,2024_01_CAR_NO,2024-09-08,CAR,NO,,57,,41.5,,OVER,
2024,1,2024_01_DAL_CLE,2024-09-08,DAL,CLE,,50,,42.0,,OVER,
2024,1,2024_01_DEN_SEA,2024-09-08,DEN,SEA,,46,,42.0,,OVER,
2024,1,2024_01_HOU_IND,2024-09-08,HOU,IND,,56,,49.0,,OVER,
2024,1,2024_01_JAX_MIA,2024-09-08,JAX,MIA,,37,,49.5,,UNDER,
2024,1,2024_01_LA_DET,2024-09-08,LA,DET,,46,,54.0,,UNDER,
2024,1,2024_01_LV_LAC,2024-09-08,LV,LAC,,32,,41.0,,UNDER,
2024,1,2024_01_MIN_NYG,2024-09-08,MIN,NYG,,34,,42.5,,UNDER,
2024,1,2024_01_NE_CIN,2024-09-08,NE,CIN,,26,,40.5,,UNDER,
2024,1,2024_01_PIT_ATL,2024-09-08,PIT,ATL,,28,,43.0,,UNDER,
2024,1,2024_01_TEN_CHI,2024-09-08,TEN,CHI,,41,,43.0,,UNDER,
2024,1,2024_01_WAS_TB,2024-09-08,WAS,TB,,57,,42.0,,OVER,
2024,1,2024_01_NYJ_SF,2024-09-09,NYJ,SF,,51,,43.0,,OVER,
2024,2,2024_02_BUF_MIA,2024-09-12,BUF,MIA,48.5,41,7.5,48.5,PUSH,UNDER,
2024,2,2024_02_CHI_HOU,2024-09-15,CHI,HOU,45.5,32,13.5,45.5,PUSH,UNDER,
2024,2,2024_02_CIN_KC,2024-09-15,CIN,KC,47.5,51,3.5,47.5,PUSH,OVER,
2024,2,2024_02_CLE_JAX,2024-09-15,CLE,JAX,41.5,31,10.5,41.5,PUSH,UNDER,
