bias,mae,rmse,win_pct,vegas_win_pct,delta_pct,wins_vs_vegas,vegas_wins,ties
-8.0,14.7618,18.4514,30.82,69.18,-38.36,335,752,0
-7.9,14.737,18.4254,31.0,69.0,-38.0,337,750,0
-7.8,14.7126,18.3999,30.91,69.09,-38.18,336,751,0
-7.7,14.6888,18.3749,31.46,68.54,-37.08,342,745,0
-7.6,14.6655,18.3504,31.74,68.26,-36.52,345,742,0
-7.5,14.6427,18.3265,31.83,68.17,-36.34,346,741,0
-7.4,14.6199,18.303,31.83,68.17,-36.34,346,741,0
-7.3,14.5973,18.28,31.83,68.17,-36.34,346,741,0
-7.2,14.5748,18.2576,31.46,68.54,-37.08,342,745,0
-7.1,14.5531,18.2357,31.46,68.54,-37.08,342,745,0
-7.0,14.5318,18.2143,31.55,68.45,-36.9,343,744,0
-6.9,14.5108,18.1935,31.65,68.35,-36.7,344,743,0
-6.8,14.4899,18.1731,31.65,68.35,-36.7,344,743,0
-6.7,14.4695,18.1533,31.83,68.17,-36.34,346,741,0
-6.6,14.4493,18.1341,31.92,68.08,-36.16,347,740,0
-6.5,14.4296,18.1153,32.01,67.99,-35.98,348,739,0
-6.4,14.4107,18.0971,32.11,67.89,-35.78,349,738,0
-6.3,14.3923,18.0794,31.92,68.08,-36.16,347,740,0
-6.2,14.3745,18.0623,32.38,67.62,-35.24,352,735,0
-6.1,14.3571,18.0457,32.38,67.62,-35.24,352,735,0
-6.0,14.3399,18.0296,32.57,67.43,-34.86,354,733,0
-5.9,14.3234,18.0141,32.75,67.25,-34.5,356,731,0
-5.8,14.3075,17.9991,32.66,67.34,-34.68,355,732,0
-5.7,14.2916,17.9847,32.66,67.34,-34.68,355,732,0
-5.6,14.2761,17.9708,32.75,67.25,-34.5,356,731,0
-5.5,14.2611,17.9575,32.75,67.25,-34.5,356,731,0
-5.4,14.2467,17.9447,32.57,67.43,-34.86,354,733,0
-5.3,14.2327,17.9324,32.75,67.25,-34.5,356,731,0
-5.2,14.2189,17.9207,32.75,67.25,-34.5,356,731,0
-5.1,14.2055,17.9096,32.57,67.43,-34.86,354,733,0
-5.0,14.1926,17.899,32.29,67.71,-35.42,351,736,0
-4.9,14.1804,17.8889,32.38,67.62,-35.24,352,735,0
-4.8,14.1685,17.8795,32.38,67.62,-35.24,352,735,0
-4.7,14.1566,17.8705,32.29,67.71,-35.42,351,736,0
-4.6,14.1451,17.8621,32.29,67.71,-35.42,351,736,0
-4.5,14.1342,17.8543,32.01,67.99,-35.98,348,739,0
-4.4,14.1236,17.8471,32.29,67.71,-35.42,351,736,0
-4.3,14.1139,17.8403,32.2,67.8,-35.6,350,737,0
-4.2,14.1045,17.8342,31.92,68.08,-36.16,347,740,0
-4.1,14.096,17.8286,31.83,68.17,-36.34,346,741,0
-4.0,14.088,17.8236,31.74,68.26,-36.52,345,742,0
-3.9,14.0805,17.8191,31.83,68.17,-36.34,346,741,0
-3.8,14.0733,17.8152,32.47,67.53,-35.06,353,734,0
-3.7,14.0666,17.8118,32.2,67.8,-35.6,350,737,0
-3.6,14.0605,17.8091,32.38,67.62,-35.24,352,735,0
-3.5,14.0547,17.8068,32.38,67.62,-35.24,352,735,0
-3.4,14.0493,17.8052,32.66,67.34,-34.68,355,732,0
-3.3,14.0444,17.804,32.47,67.53,-35.06,353,734,0
-3.2,14.0396,17.8035,32.84,67.16,-34.32,357,730,0
-3.1,14.0353,17.8035,33.21,66.79,-33.58,361,726,0
-3.0,14.0315,17.8041,33.12,66.88,-33.76,360,727,0
-2.9,14.0283,17.8052,33.03,66.97,-33.94,359,728,0
-2.8,14.0254,17.8069,33.21,66.79,-33.58,361,726,0
-2.7,14.0228,17.8092,33.21,66.79,-33.58,361,726,0
-2.6,14.0204,17.812,33.39,66.61,-33.22,363,724,0
-2.5,14.0184,17.8154,33.58,66.42,-32.84,365,722,0
-2.4,14.0168,17.8194,33.67,66.33,-32.66,366,721,0
-2.3,14.0162,17.8239,33.67,66.33,-32.66,366,721,0
-2.2,14.0161,17.8289,33.49,66.51,-33.02,364,723,0
-2.1,14.0165,17.8346,33.95,66.05,-32.1,369,718,0
-2.0,14.0172,17.8407,33.85,66.15,-32.3,368,719,0
-1.9,14.0185,17.8475,33.76,66.24,-32.48,367,720,0
-1.8,14.0206,17.8548,33.67,66.33,-32.66,366,721,0
-1.7,14.0234,17.8626,33.67,66.33,-32.66,366,721,0
-1.6,14.0265,17.871,33.85,66.15,-32.3,368,719,0
-1.5,14.0303,17.88,34.04,65.96,-31.92,370,717,0
-1.4,14.0342,17.8895,33.95,66.05,-32.1,369,718,0
-1.3,14.0386,17.8996,34.04,65.96,-31.92,370,717,0
-1.2,14.0435,17.9102,33.85,66.15,-32.3,368,719,0
-1.1,14.049,17.9214,33.85,66.15,-32.3,368,719,0
-1.0,14.0549,17.9331,33.85,66.15,-32.3,368,719,0
-0.9,14.0614,17.9454,33.85,66.15,-32.3,368,719,0
-0.8,14.068,17.9583,34.04,65.96,-31.92,370,717,0
-0.7,14.0748,17.9716,34.13,65.87,-31.74,371,716,0
-0.6,14.0827,17.9856,33.67,66.33,-32.66,366,721,0
-0.5,14.0913,18.0,33.49,66.51,-33.02,364,723,0
-0.4,14.1003,18.015,33.67,66.33,-32.66,366,721,0
-0.3,14.1098,18.0306,33.49,66.51,-33.02,364,723,0
-0.2,14.1199,18.0467,33.3,66.7,-33.4,362,725,0
-0.1,14.1311,18.0633,33.12,66.88,-33.76,360,727,0
0.0,14.1426,18.0805,33.39,66.61,-33.22,363,724,0
0.1,14.1544,18.0982,33.39,66.61,-33.22,363,724,0
0.2,14.1667,18.1164,33.03,66.97,-33.94,359,728,0
0.3,14.1796,18.1352,33.21,66.79,-33.58,361,726,0
0.4,14.1931,18.1545,33.21,66.79,-33.58,361,726,0
0.5,14.2068,18.1743,33.3,66.7,-33.4,362,725,0
0.6,14.2208,18.1947,33.85,66.15,-32.3,368,719,0
0.7,14.235,18.2156,33.76,66.24,-32.48,367,720,0
0.8,14.2496,18.237,33.67,66.33,-32.66,366,721,0
0.9,14.2647,18.2589,33.76,66.24,-32.48,367,720,0
1.0,14.2805,18.2814,34.13,65.87,-31.74,371,716,0
1.1,14.2966,18.3044,33.85,66.15,-32.3,368,719,0
1.2,14.3132,18.3279,33.58,66.42,-32.84,365,722,0
1.3,14.3304,18.3519,33.49,66.51,-33.02,364,723,0
1.4,14.348,18.3764,33.12,66.88,-33.76,360,727,0
1.5,14.366,18.4014,33.03,66.97,-33.94,359,728,0
1.6,14.3845,18.427,33.12,66.88,-33.76,360,727,0
1.7,14.4032,18.453,32.93,67.07,-34.14,358,729,0
1.8,14.4227,18.4796,33.39,66.61,-33.22,363,724,0
1.9,14.4424,18.5066,33.21,66.79,-33.58,361,726,0
2.0,14.4626,18.5342,33.12,66.88,-33.76,360,727,0
2.1,14.4833,18.5622,33.12,66.88,-33.76,360,727,0
2.2,14.5044,18.5908,33.21,66.79,-33.58,361,726,0
2.3,14.5259,18.6198,33.3,66.7,-33.4,362,725,0
2.4,14.5478,18.6493,33.58,66.42,-32.84,365,722,0
2.5,14.5703,18.6794,33.49,66.51,-33.02,364,723,0
2.6,14.5932,18.7099,33.39,66.61,-33.22,363,724,0
2.7,14.6166,18.7409,33.3,66.7,-33.4,362,725,0
2.8,14.6403,18.7723,33.39,66.61,-33.22,363,724,0
2.9,14.6648,18.8043,33.03,66.97,-33.94,359,728,0
3.0,14.6906,18.8367,32.93,67.07,-34.14,358,729,0
3.1,14.7172,18.8696,32.93,67.07,-34.14,358,729,0
3.2,14.7444,18.903,32.84,67.16,-34.32,357,730,0
3.3,14.7719,18.9368,32.75,67.25,-34.5,356,731,0
3.4,14.7995,18.9711,32.75,67.25,-34.5,356,731,0
3.5,14.8276,19.0059,32.84,67.16,-34.32,357,730,0
3.6,14.8563,19.0411,32.75,67.25,-34.5,356,731,0
3.7,14.8856,19.0768,32.57,67.43,-34.86,354,733,0
3.8,14.915,19.113,32.47,67.53,-35.06,353,734,0
3.9,14.9446,19.1496,32.38,67.62,-35.24,352,735,0
4.0,14.9747,19.1867,32.75,67.25,-34.5,356,731,0
4.1,15.0052,19.2242,32.84,67.16,-34.32,357,730,0
4.2,15.0361,19.2621,32.66,67.34,-34.68,355,732,0
4.3,15.0678,19.3005,32.47,67.53,-35.06,353,734,0
4.4,15.1004,19.3393,32.29,67.71,-35.42,351,736,0
4.5,15.1334,19.3786,32.29,67.71,-35.42,351,736,0
4.6,15.1671,19.4183,32.2,67.8,-35.6,350,737,0
4.7,15.2018,19.4585,32.47,67.53,-35.06,353,734,0
4.8,15.2373,19.499,32.57,67.43,-34.86,354,733,0
4.9,15.2732,19.54,32.47,67.53,-35.06,353,734,0
5.0,15.3096,19.5815,32.47,67.53,-35.06,353,734,0
5.1,15.3463,19.6233,32.66,67.34,-34.68,355,732,0
5.2,15.3832,19.6656,32.66,67.34,-34.68,355,732,0
5.3,15.4203,19.7083,32.47,67.53,-35.06,353,734,0
5.4,15.4581,19.7514,32.47,67.53,-35.06,353,734,0
5.5,15.4965,19.7949,32.38,67.62,-35.24,352,735,0
5.6,15.5352,19.8388,31.83,68.17,-36.34,346,741,0
5.7,15.5745,19.8831,32.01,67.99,-35.98,348,739,0
5.8,15.6141,19.9278,31.46,68.54,-37.08,342,745,0
5.9,15.6541,19.973,31.28,68.72,-37.44,340,747,0
6.0,15.6947,20.0185,31.46,68.54,-37.08,342,745,0
6.1,15.736,20.0644,31.55,68.45,-36.9,343,744,0
6.2,15.7777,20.1107,31.65,68.35,-36.7,344,743,0
6.3,15.8201,20.1574,31.37,68.63,-37.26,341,746,0
6.4,15.8628,20.2045,31.28,68.72,-37.44,340,747,0
6.5,15.9062,20.252,31.19,68.81,-37.62,339,748,0
6.6,15.9497,20.2998,31.09,68.91,-37.82,338,749,0
6.7,15.9937,20.3481,30.91,69.09,-38.18,336,751,0
6.8,16.0384,20.3967,31.09,68.91,-37.82,338,749,0
6.9,16.0833,20.4457,31.19,68.81,-37.62,339,748,0
7.0,16.1287,20.495,31.0,69.0,-38.0,337,750,0
7.1,16.1743,20.5447,31.0,69.0,-38.0,337,750,0
7.2,16.2198,20.5948,30.63,69.37,-38.74,333,754,0
7.3,16.2654,20.6453,30.63,69.37,-38.74,333,754,0
7.4,16.311,20.6961,30.73,69.27,-38.54,334,753,0
7.5,16.3567,20.7473,30.45,69.55,-39.1,331,756,0
7.6,16.403,20.7988,30.08,69.92,-39.84,327,760,0
7.7,16.4499,20.8507,29.99,70.01,-40.02,326,761,0
7.8,16.497,20.9029,29.81,70.19,-40.38,324,763,0
7.9,16.5443,20.9555,29.71,70.29,-40.58,323,764,0
8.0,16.5919,21.0084,29.71,70.29,-40.58,323,764,0
